date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2025-06-12,48054.0,100,533.66,53366.0,101420.0,0.001234019448146606,0.01419999999999999,101475.0,-0.0005420054200542257,QQQ,2025-04-21
2025-06-13,48054.0,100,526.96,52696.0,100750.0,-0.006606192072569517,0.007500000000000062,101475.0,-0.00714461690071444,QQQ,2025-04-21
2025-06-16,48054.0,100,534.29,53429.0,101483.0,0.0072754342431762264,0.014829999999999899,101483.0,0.0,QQQ,2025-04-21
2025-06-17,48054.0,100,529.08,52908.00000000001,100962.0,-0.005133864785234921,0.009619999999999962,101483.0,-0.005133864785234921,QQQ,2025-04-21
2025-06-18,100962.0,0,528.99,0.0,100962.0,0.0,0.009619999999999962,101483.0,-0.005133864785234921,QQQ,2025-04-21
2025-06-20,100962.0,0,526.83,0.0,100962.0,0.0,0.009619999999999962,101483.0,-0.005133864785234921,QQQ,2025-04-21
2025-06-23,100962.0,0,531.65,0.0,100962.0,0.0,0.009619999999999962,101483.0,-0.005133864785234921,QQQ,2025-04-21
2025-06-24,100962.0,0,539.78,0.0,100962.0,0.0,0.009619999999999962,101483.0,-0.005133864785234921,QQQ,2025-04-21
2025-06-25,46756.00000000001,100,541.16,54116.0,100872.0,-0.0008914244963451612,0.008720000000000061,101483.0,-0.006020712828749608,QQQ,2025-04-21
2025-06-26,46756.00000000001,100,546.22,54622.0,101378.0,0.0050162582282495816,0.013779999999999903,101483.0,-0.0010346560507671354,QQQ,2025-04-21
2025-06-27,46756.00000000001,100,548.09,54809.0,101565.0,0.0018445816646610602,0.015649999999999942,101565.0,0.0,QQQ,2025-04-21
2025-06-30,46756.00000000001,100,551.64,55164.0,101920.0,0.0034952985772658263,0.019200000000000106,101920.0,0.0,QQQ,2025-04-21
2025-07-01,46756.00000000001,100,546.99,54699.0,101455.0,-0.0045624018838305025,0.014550000000000063,101920.0,-0.0045624018838305025,QQQ,2025-04-21
2025-07-02,46756.00000000001,100,550.8,55079.99999999999,101836.0,0.0037553595189985245,0.018359999999999932,101920.0,-0.0008241758241758212,QQQ,2025-04-21
2025-07-03,46756.00000000001,100,556.22,55622.0,102378.0,0.005322282886209173,0.023779999999999912,102378.0,0.0,QQQ,2025-04-21
2025-07-07,102322.29000000001,0,552.03,0.0,102322.29000000001,-0.0005441598780987489,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-08,102322.29000000001,0,552.34,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-09,102322.29000000001,0,556.25,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-10,102322.29000000001,0,555.45,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-11,102322.29000000001,0,554.2,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-14,102322.29000000001,0,556.21,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-15,102322.29000000001,0,556.72,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-16,102322.29000000001,0,557.29,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-17,102322.29000000001,0,561.8,0.0,102322.29000000001,0.0,0.023222900000000157,102378.0,-0.0005441598780987489,QQQ,2025-04-21
2025-07-18,46010.29000000001,100,561.26,56126.0,102136.29000000001,-0.0018177857434582556,0.021362900000000185,102378.0,-0.0023609564554883944,QQQ,2025-04-21
2025-07-21,46010.29000000001,100,564.17,56416.99999999999,102427.29000000001,0.002849134230350492,0.024272900000000153,102427.29000000001,0.0,QQQ,2025-04-21
2025-07-22,100000.0,0,561.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-07-22
2025-07-23,100000.0,0,563.81,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-07-22
